locale/slug,en,cn
locale/name,English,Chinese
IDE ----------------------------------------------------------------,,
ide/name,Quirkbot CODE,Quirkbot 编程
ide/untitled-program,Untitled CODE,未命名程序
ide/editor/visual,Visual,可视化
ide/editor/text,Text,文本
ide/node/disconnect,disconnect,断开连接
ide/account-verification/reminder,"Your account is not verified, plase check your email for instructions.",您的帐户未完成邮箱认证，请查看您注册的邮箱，并按照步骤进行认证。
ide/account-verification/reminder/more-info,More information,更多信息
ide/account-verification/dialog/header,Account verification,帐户认证
ide/account-verification/dialog/title,Please click on the link we sent to:,请进入：，并点击我们发送的链接。
ide/account-verification/dialog/description,<b>Can't find the verification message?</b><br><ul><li>Wait for ten minutes. The message may take a while to arrive.</li><li>Check your spam folder.<li>Still can't find it? Resend the verification.</li></ul>,<b>没有找到认证信息？</b><br><ul><li>等10分钟吧，让信息飞一会儿。</li><li>Check your spam folder.<li>还没有收到？重新发送认证信息。</li></ul>
ide/account-verification/dialog/cancel,Close,关闭
ide/account-verification/dialog/continue,Resend verification,重发认证信息
ide/account-verification/page/title,Account verification,帐户认证
ide/account-verification/page/description/pending,Please wait while we verify your account...,在我们认证您的帐户时，请耐心等待。
ide/account-verification/page/description/success,This account verifed!,帐户认证完成！
ide/account-verification/page/description/fail,Error verifying account.,帐户认证错误！
ide/password-reset/page/title,Password Reset,重新设置密码
ide/password-reset/page/description/pending,Please wait while we verify your account...,在我们认证您的帐户时，请耐心等待。
ide/password-reset/page/description/success,This account verifed!,帐户认证完成！
ide/password-reset/page/description/fail,Error verifying account.,帐户认证错误！
ide/password-reset/page/password/label,New password,新密码
ide/password-reset/page/password/placeholder,,
ide/password-reset/page/password/tip,,
ide/password-reset/page/password/error/pre-validation,New password must be at least 6 characters long.,新密码至少要有6个字符。
ide/password-reset/page/password/error/required,Password is required.,请输入密码
ide/password-reset/page/password-confirmation/label,Confirm new password,再次确认新密码
ide/password-reset/page/password-confirmation/placeholder,,
ide/password-reset/page/password-confirmation/tip,,
ide/password-reset/page/password-confirmation/error/pre-validation,Passwords don't match.,密码不一致
ide/password-reset/page/password-confirmation/error/required,Password confirmation is required.,需要进行密码确认
ide/password-reset/page/submit,Reset,重置
ide/password-reset/page/error/RESET_REQUEST_NOT_FOUND,Invalid reset. This request has probably expired.,无效的重置，此请求已经过期。
ide/factory-reset/page/call-to-action,Upload factory program,恢复出厂设置
FOOTER ------------------------------------------------------------,,
ide/footer/menu,"{% assign arg1='recovery-mode' %}{% include f_print_page_link %}{% assign arg1='help' %}{% include f_print_page_link %}",
ide/footer/fine-print,"{% assign arg1='terms-of-use' %}{% assign arg2='_blank' %}{% include f_print_page_link %}{% assign arg1='privacy-policy' %}{% assign arg2='_blank' %}{% include f_print_page_link %}",
AVATAR -------------------------------------------------------------,,
ide/avatar/login,Log in,登陆
ide/avatar/register,Join,加入
ide/avatar/logout,Logout,登出
ide/avatar/profile,Go to profile,我的资料
ide/avatar/anonymous-user,Anonymous User,Anonymous User
ide/avatar/new-program,Create new CODE,创建新的代码
USER ---------------------------------------------------------------,,
ide/user/forbidden/title,Access denied.,访问失败
ide/user/forbidden/description,You can only access a user profile if you are logged in.,您只有在登录后才能访问用户资料
ide/user/not-found/title,User not found,未找到对应用户
ide/user/not-found/description,We couldn't find the user you are looking for.,我们未找到您输入的用户名
ide/user/programs/title,CODEs,代码
ide/user/programs/empty,This user hasn't created any CODE yet.,用户未创建任何代码
ide/user/programs/create-new,Create new CODE,创建新的代码
ide/user/programs/inspiration,,
ide/user/programs/item/modified,Last modified:,上一次修改:
IDE - Toolbar ------------------------------------------------------,,
